Assay,Sample,Ct,Tm,Efficiency,Flags
AY1,1A-rep1,11.78,81.46,1.57,LowEfficiency
AY1,1A-rep3,12.35,81.89,1.71,LowEfficiency
AY1,2A-rep2,13.81,81.87,1.87,
AY1,3A-rep1,13.44,81.95,1.81,
AY1,6A-rep2,12.36,81.88,1.72,LowEfficiency
AY1,7A-rep1,14.21,81.96,1.82,
AY1,3A-rep3,13.06,81.82,1.84,
AY1,4A-rep2,12.74,81.79,1.76,LowEfficiency
AY1,5A-rep1,13.38,81.80,1.78,LowEfficiency
AY1,5A-rep3,13.47,81.85,1.81,
AY1,7A-rep3,13.76,81.81,1.80,LowEfficiency
AY1,8A-rep2,12.66,81.83,1.77,LowEfficiency
AY1,1A-rep2,11.97,81.70,1.82,
AY1,2A-rep1,13.31,81.67,1.84,
AY1,2A-rep3,13.34,81.64,1.87,
AY1,3A-rep2,13.27,81.77,1.94,
AY1,6A-rep3,12.41,81.77,1.77,LowEfficiency
AY1,7A-rep2,13.76,81.71,1.88,
AY1,4A-rep1,12.82,81.71,1.88,
AY1,4A-rep3,12.64,81.63,1.85,
AY1,5A-rep2,13.31,81.67,1.87,
AY1,6A-rep1,12.31,81.65,1.75,LowEfficiency
AY1,8A-rep1,12.85,81.79,1.84,
AY1,8A-rep3,12.60,81.64,1.77,LowEfficiency
AY2,1A-rep1,28.43,80.66,1.79,LowEfficiency
AY2,1A-rep3,26.17,80.65,1.77,LowEfficiency
AY2,2A-rep2,29.91,79.92,1.83,CtIsLarge
AY2,3A-rep1,,,,NoAmplification
AY2,6A-rep2,28.40,80.47,1.77,LowEfficiency
AY2,7A-rep1,,,,NoAmplification
AY2,3A-rep3,,,,NoAmplification
AY2,4A-rep2,29.73,80.53,1.79,"LowEfficiency, CtIsLarge"
AY2,5A-rep1,,,,NoAmplification
AY2,5A-rep3,30.75,80.05,1.83,CtIsLarge
AY2,7A-rep3,,,,NoAmplification
AY2,8A-rep2,,,,NoAmplification
AY2,1A-rep2,28.62,80.74,1.83,
AY2,2A-rep1,,,,NoAmplification
AY2,2A-rep3,,,,NoAmplification
AY2,3A-rep2,,,,NoAmplification
AY2,6A-rep3,,,,NoAmplification
AY2,7A-rep2,,,,NoAmplification
AY2,4A-rep1,28.60,80.54,1.80,
AY2,4A-rep3,27.19,80.63,1.82,
AY2,5A-rep2,,,,NoAmplification
AY2,6A-rep1,28.56,80.53,1.77,LowEfficiency
AY2,8A-rep1,,,,NoAmplification
AY2,8A-rep3,,,,NoAmplification
AY4,1A-rep1,25.36,74.74,1.80,LowEfficiency
AY4,1A-rep3,25.59,74.72,1.90,
AY4,2A-rep2,27.29,74.69,1.94,
AY4,3A-rep1,,,,NoAmplification
AY4,6A-rep2,,,,NoAmplification
AY4,7A-rep1,,,,NoAmplification
AY4,3A-rep3,,,,NoAmplification
AY4,4A-rep2,26.23,74.64,1.88,
AY4,5A-rep1,,,,NoAmplification
AY4,5A-rep3,,,,NoAmplification
AY4,7A-rep3,27.83,74.68,1.95,
AY4,8A-rep2,25.21,74.56,1.90,
AY4,1A-rep2,27.00,74.66,2.06,SaturationBaselineRatioIsLow
AY4,2A-rep1,,,,NoAmplification
AY4,2A-rep3,,,,NoAmplification
AY4,3A-rep2,28.16,74.62,1.89,
AY4,6A-rep3,,,,NoAmplification
AY4,7A-rep2,27.07,74.53,1.98,
AY4,4A-rep1,,,,CurveFitFailed
AY4,4A-rep3,27.49,74.53,1.86,
AY4,5A-rep2,,,,"LowEfficiency, CtIsSmall, SaturationBaselineRatioIsLow, CurveFitFailed, HighBaseline"
AY4,6A-rep1,30.20,74.65,1.76,"LowEfficiency, CtIsLarge"
AY4,8A-rep1,24.90,74.48,1.90,
AY4,8A-rep3,25.35,74.47,1.87,
AY6,1A-rep1,,,,CurveFitFailed
AY6,1A-rep3,28.50,80.77,1.76,LowEfficiency
AY6,2A-rep2,,,,NoAmplification
AY6,3A-rep1,,,,NoAmplification
AY6,6A-rep2,,,,NoAmplification
AY6,7A-rep1,,,,"CtIsLarge, SaturationBaselineRatioIsLow, CurveFitFailed"
AY6,3A-rep3,,,,NoAmplification
AY6,4A-rep2,,,,CurveFitFailed
AY6,5A-rep1,,,,NoAmplification
AY6,5A-rep3,,,,NoAmplification
AY6,7A-rep3,,,,NoAmplification
AY6,8A-rep2,29.60,80.59,1.74,"LowEfficiency, CtIsLarge"
AY6,1A-rep2,29.68,80.81,1.65,"LowEfficiency, CtIsLarge"
AY6,2A-rep1,,,,NoAmplification
AY6,2A-rep3,,,,NoAmplification
AY6,3A-rep2,,,,NoAmplification
AY6,6A-rep3,,,,NoAmplification
AY6,7A-rep2,,,,NoAmplification
AY6,4A-rep1,28.22,80.62,1.76,LowEfficiency
AY6,4A-rep3,,,,CurveFitFailed
AY6,5A-rep2,,,,"CtIsLarge, CurveFitFailed"
AY6,6A-rep1,28.86,80.59,1.73,LowEfficiency
AY6,8A-rep1,,,,NoAmplification
AY6,8A-rep3,,,,NoAmplification
AY7,1A-rep1,24.37,80.08,1.71,LowEfficiency
AY7,1A-rep3,24.04,80.07,1.75,LowEfficiency
AY7,2A-rep2,25.16,80.04,1.75,LowEfficiency
AY7,3A-rep1,27.67,79.97,1.81,
AY7,6A-rep2,30.34,79.80,1.70,"LowEfficiency, CtIsLarge"
AY7,7A-rep1,28.78,79.94,1.77,LowEfficiency
AY7,3A-rep3,,,,NoAmplification
AY7,4A-rep2,24.59,79.98,1.77,LowEfficiency
AY7,5A-rep1,29.34,79.87,1.77,LowEfficiency
AY7,5A-rep3,27.87,79.87,1.83,
AY7,7A-rep3,28.65,79.91,1.80,
AY7,8A-rep2,28.46,79.83,1.74,LowEfficiency
AY7,1A-rep2,23.95,79.99,1.75,LowEfficiency
AY7,2A-rep1,25.10,79.98,1.76,LowEfficiency
AY7,2A-rep3,25.72,79.92,1.80,
AY7,3A-rep2,29.31,79.83,1.76,LowEfficiency
AY7,6A-rep3,28.47,79.78,1.73,LowEfficiency
AY7,7A-rep2,,,,NoAmplification
AY7,4A-rep1,24.57,79.89,1.76,LowEfficiency
AY7,4A-rep3,24.90,79.89,1.70,LowEfficiency
AY7,5A-rep2,29.47,79.73,1.73,LowEfficiency
AY7,6A-rep1,29.15,79.67,1.64,LowEfficiency
AY7,8A-rep1,27.82,79.77,1.68,LowEfficiency
AY7,8A-rep3,28.51,79.68,1.72,LowEfficiency
AY8,1A-rep1,24.75,82.90,1.76,LowEfficiency
AY8,1A-rep3,25.19,83.06,1.70,LowEfficiency
AY8,2A-rep2,26.88,83.05,1.81,
AY8,3A-rep1,26.87,82.99,1.81,
AY8,6A-rep2,26.15,83.02,1.75,LowEfficiency
AY8,7A-rep1,27.03,83.04,1.80,
AY8,3A-rep3,25.30,83.06,1.77,LowEfficiency
AY8,4A-rep2,26.25,82.87,1.75,LowEfficiency
AY8,5A-rep1,26.59,82.93,1.82,
AY8,5A-rep3,28.52,82.91,1.81,
AY8,7A-rep3,25.65,82.92,1.82,
AY8,8A-rep2,25.58,82.90,1.78,LowEfficiency
AY8,1A-rep2,25.53,83.20,1.75,LowEfficiency
AY8,2A-rep1,26.04,83.09,1.74,LowEfficiency
AY8,2A-rep3,26.17,83.03,1.79,LowEfficiency
AY8,3A-rep2,28.64,82.92,1.79,LowEfficiency
AY8,6A-rep3,27.83,82.92,1.77,LowEfficiency
AY8,7A-rep2,26.49,83.00,1.79,LowEfficiency
AY8,4A-rep1,25.93,82.93,1.74,LowEfficiency
AY8,4A-rep3,25.25,82.94,1.78,LowEfficiency
AY8,5A-rep2,28.65,82.90,1.79,LowEfficiency
AY8,6A-rep1,26.89,82.93,1.74,LowEfficiency
AY8,8A-rep1,24.48,82.94,1.72,LowEfficiency
